county_code,county,Election_Year,total_reg,total_number_voting,total_percent_turnout,dem_reg,dem_voting,dem_percent_turnout,rep_reg,rep_voting,rep_percent_turnout,other_reg,other_voting,other_percent_turnout
65,LEE,2016,"5,248","2,726",51.9,"1,863",885,47.5,"3,170","1,760",55.5,215,81,37.7
66,LESLIE,2016,"8,549","4,561",53.4,986,369,37.4,"7,301","4,096",56.1,262,96,36.6
67,LETCHER,2016,"16,444","9,273",56.4,"11,477","6,141",53.5,"4,326","2,871",66.4,641,261,40.7
68,LEWIS,2016,"10,165","5,439",53.5,"2,386","1,107",46.4,"7,293","4,164",57.1,486,168,34.6
69,LINCOLN,2016,"17,943","9,651",53.8,"8,471","4,285",50.6,"8,336","4,941",59.3,"1,136",425,37.4
70,LIVINGSTON,2016,"7,587","4,700",61.9,"5,010","3,134",62.6,"2,137","1,394",65.2,440,172,39.1
71,LOGAN,2016,"17,787","11,072",62.2,"11,153","6,939",62.2,"5,431","3,604",66.4,"1,203",529,44
72,LYON,2016,"6,389","4,043",63.3,"4,172","2,661",63.8,"1,832","1,218",66.5,385,164,42.6
73,MCCRACKEN,2016,"53,669","31,879",59.4,"29,331","17,244",58.8,"19,615","12,604",64.3,"4,723","2,031",43
74,MCCREARY,2016,"11,180","5,893",52.7,"2,919","1,257",43.1,"7,670","4,413",57.5,591,223,37.7
75,MCLEAN,2016,"6,979","4,630",66.3,"4,449","2,950",66.3,"2,160","1,516",70.2,370,164,44.3
76,MADISON,2016,"63,600","37,973",59.7,"30,394","17,870",58.8,"26,676","17,174",64.4,"6,530","2,929",44.9
77,MAGOFFIN,2016,"10,051","5,297",52.7,"6,809","3,337",49,"3,076","1,899",61.7,166,61,36.7
78,MARION,2016,"13,135","8,265",62.9,"10,006","6,472",64.7,"2,623","1,564",59.6,506,229,45.3
79,MARSHALL,2016,"25,494","16,963",66.5,"16,111","10,887",67.6,"7,887","5,318",67.4,"1,496",758,50.7
80,MARTIN,2016,"8,290","3,983",48,"2,173",818,37.6,"5,937","3,113",52.4,180,52,28.9
81,MASON,2016,"13,037","7,376",56.6,"7,814","4,542",58.1,"4,140","2,430",58.7,"1,083",404,37.3
82,MEADE,2016,"21,149","12,450",58.9,"11,008","6,726",61.1,"8,320","4,928",59.2,"1,821",796,43.7
83,MENIFEE,2016,"5,345","2,863",53.6,"3,927","2,082",53,"1,094",674,61.6,324,107,33
84,MERCER,2016,"17,511","10,570",60.4,"9,664","5,806",60.1,"6,729","4,300",63.9,"1,118",464,41.5
85,METCALFE,2016,"7,731","4,709",60.9,"3,968","2,314",58.3,"3,316","2,181",65.8,447,214,47.9
86,MONROE,2016,"8,571","5,057",59,"1,140",537,47.1,"7,140","4,421",61.9,291,99,34
87,MONTGOMERY,2016,"20,277","11,554",57,"13,184","7,500",56.9,"5,934","3,566",60.1,"1,159",488,42.1
88,MORGAN,2016,"9,113","4,911",53.9,"7,650","4,097",53.6,"1,215",718,59.1,248,96,38.7
89,MUHLENBERG,2016,"22,700","13,302",58.6,"15,739","9,244",58.7,"5,690","3,575",62.8,"1,271",483,38
90,NELSON,2016,"33,025","21,087",63.9,"19,138","12,622",66,"10,926","7,229",66.2,"2,961","1,236",41.7
91,NICHOLAS,2016,"5,438","2,935",54,"4,137","2,289",55.3,"1,014",538,53.1,287,108,37.6
92,OHIO,2016,"17,478","10,589",60.6,"7,833","4,543",58,"8,561","5,576",65.1,"1,084",470,43.4
93,OLDHAM,2016,"50,185","33,425",66.6,"16,880","11,033",65.4,"27,767","19,434",70,"5,538","2,958",53.4
94,OWEN,2016,"8,090","5,064",62.6,"5,142","3,238",63,"2,474","1,600",64.7,474,226,47.7
95,OWSLEY,2016,"3,568","1,790",50.2,960,429,44.7,"2,522","1,328",52.7,86,33,38.4
96,PENDLETON,2016,"10,324","6,089",59,"5,544","3,224",58.2,"3,910","2,486",63.6,870,379,43.6
97,PERRY,2016,"20,812","10,835",52.1,"14,838","7,356",49.6,"5,283","3,249",61.5,691,230,33.3
98,PIKE,2016,"49,140","25,250",51.4,"33,294","16,539",49.7,"13,272","7,878",59.4,"2,574",833,32.4
99,POWELL,2016,"9,933","5,015",50.5,"6,743","3,325",49.3,"2,724","1,533",56.3,466,157,33.7
100,PULASKI,2016,"47,323","28,403",60,"11,229","5,517",49.1,"32,690","21,510",65.8,"3,404","1,376",40.4
101,ROBERTSON,2016,"1,743","1,030",59.1,"1,330",786,59.1,339,217,64,74,27,36.5
102,ROCKCASTLE,2016,"12,353","6,790",55,"2,306","1,053",45.7,"9,408","5,502",58.5,639,235,36.8
103,ROWAN,2016,"14,847","9,012",60.7,"9,287","5,497",59.2,"4,463","3,017",67.6,"1,097",498,45.4
104,RUSSELL,2016,"14,016","8,301",59.2,"2,961","1,613",54.5,"10,396","6,428",61.8,659,260,39.5
105,SCOTT,2016,"38,734","24,667",63.7,"18,490","11,658",63.1,"17,084","11,405",66.8,"3,160","1,604",50.8
106,SHELBY,2016,"31,586","20,931",66.3,"15,005","9,701",64.7,"13,946","9,879",70.8,"2,635","1,351",51.3
107,SIMPSON,2016,"13,585","7,385",54.4,"8,018","4,465",55.7,"4,388","2,465",56.2,"1,179",455,38.6
108,SPENCER,2016,"14,146","9,642",68.2,"6,446","4,202",65.2,"6,676","4,894",73.3,"1,024",546,53.3
109,TAYLOR,2016,"18,128","11,380",62.8,"7,795","4,534",58.2,"9,348","6,411",68.6,985,435,44.2
110,TODD,2016,"8,374","4,866",58.1,"5,758","3,432",59.6,"2,190","1,285",58.7,426,149,35
111,TRIGG,2016,"11,643","6,617",56.8,"6,200","3,505",56.5,"4,618","2,751",59.6,825,361,43.8
112,TRIMBLE,2016,"7,171","3,856",53.8,"5,056","2,780",55,"1,704",951,55.8,411,125,30.4
113,UNION,2016,"10,248","6,268",61.2,"7,762","4,953",63.8,"2,006","1,139",56.8,480,176,36.7
114,WARREN,2016,"80,493","49,159",61.1,"40,632","24,416",60.1,"32,784","21,466",65.5,"7,077","3,277",46.3
115,WASHINGTON,2016,"8,675","5,762",66.4,"5,250","3,518",67,"3,046","2,063",67.7,379,181,47.8
116,WAYNE,2016,"14,738","8,031",54.5,"5,142","2,563",49.8,"8,911","5,214",58.5,685,254,37.1
117,WEBSTER,2016,"9,681","5,923",61.2,"6,967","4,416",63.4,"2,232","1,320",59.1,482,187,38.8
118,WHITLEY,2016,"26,828","13,701",51.1,"6,239","2,446",39.2,"19,158","10,765",56.2,"1,431",490,34.2
119,WOLFE,2016,"5,603","2,652",47.3,"4,767","2,268",47.6,640,341,53.3,196,43,21.9
120,WOODFORD,2016,"20,526","13,765",67.1,"10,928","7,435",68,"7,913","5,457",69,"1,685",873,51.8
1,ADAIR,2012,"12,762","7,565",59.2,"3,731","2,143",57.4,"8,398","5,164",61.4,633,258,40.7
2,ALLEN,2012,"13,232","7,156",54,"4,698","2,340",49.8,"7,725","4,526",58.5,809,290,35.8
3,ANDERSON,2012,"16,436","10,420",63.3,"10,251","6,623",64.6,"5,200","3,375",64.9,985,422,42.8
